Plastic type,Replacement %,Particle size (mm),w/c ratio,Additive type,Additive %,Curing temperature (°C),Curing duration (days),Compressive strength (MPa),Flexural strength (MPa),Split tensile strength (MPa),Density (kg/m³),Water absorption (%),Thermal conductivity (W/m·K),Durability index
PP,27.62,9.31,0.521,fly ash,22.5,29.7,90.0,15.31,2.54,1.59,2161.3,4.67,0.808,32.6
PP,7.02,8.02,0.475,GGBS,10.7,23.0,27.7,23.37,3.09,1.81,2257.0,2.81,1.209,43.6
PP,13.49,10.58,0.444,none,0.0,65.1,89.7,28.87,4.14,2.6,2228.6,3.5,1.122,43.4
PP,32.18,6.93,0.508,none,0.0,25.3,3.3,5.06,1.4,0.45,2100.7,5.02,0.779,23.1
PP,34.82,6.41,0.498,none,0.0,21.9,28.4,8.54,1.92,0.89,2075.6,5.43,0.676,21.1
PP,19.73,5.31,0.396,none,0.0,43.6,89.9,17.14,3.36,1.36,2236.3,3.54,1.001,37.6
PP,18.44,4.04,0.392,none,0.0,25.0,27.9,10.15,2.27,1.0,2270.7,3.06,0.999,32.0
PP,31.91,5.97,0.421,GGBS,27.2,25.7,28.2,10.89,2.06,0.96,2102.0,3.82,0.744,33.2
PP,18.47,16.21,0.393,none,0.0,21.3,28.5,10.96,1.96,1.13,2198.0,3.43,1.007,29.3
PP,28.08,17.72,0.495,silica fume,5.1,25.2,14.3,6.38,1.53,0.67,2094.6,3.81,0.891,28.6
PP,7.27,8.34,0.388,none,0.0,41.4,13.6,19.5,3.04,1.88,2312.4,2.81,1.278,41.8
PP,19.53,4.38,0.547,fly ash,20.6,30.0,28.3,9.3,2.03,0.81,2237.7,4.51,1.014,23.2
PP,11.63,13.02,0.466,GGBS,29.0,19.4,27.6,20.41,2.86,1.67,2243.8,3.15,1.158,40.3
PP,37.21,11.45,0.636,GGBS,10.7,26.8,7.1,5.0,1.34,0.39,2101.8,5.98,0.658,14.0
PP,32.42,16.12,0.488,none,0.0,39.6,28.1,8.56,1.96,0.93,2159.0,5.32,0.758,17.0
PP,9.97,5.3,0.35,none,0.0,77.5,27.6,29.68,3.72,2.58,2253.2,2.38,1.213,45.1
PP,11.56,5.15,0.65,none,0.0,26.2,3.0,5.0,1.24,0.44,2253.2,5.84,1.102,16.9
PP,31.14,10.4,0.395,none,0.0,78.4,56.2,16.72,2.63,1.37,2089.2,3.88,0.794,32.6
PP,25.15,6.6,0.416,fly ash,25.4,24.4,13.6,7.41,1.73,0.71,2162.5,3.66,0.964,26.7
PP,26.73,5.47,0.547,GGBS,12.4,26.5,90.0,14.45,2.23,1.37,2160.4,4.56,0.86,30.4
PP,24.62,12.17,0.439,fly ash,21.2,72.2,90.0,16.77,2.74,1.52,2173.6,4.02,0.908,35.8
PP,16.19,7.15,0.513,none,0.0,29.5,89.8,19.7,2.85,1.96,2238.7,4.41,1.109,31.6
PP,14.92,5.86,0.351,silica fume,12.5,28.6,28.2,20.25,3.11,2.18,2224.3,1.96,1.112,46.2
PP,26.63,6.02,0.46,silica fume,14.1,23.5,28.4,9.9,2.04,0.85,2143.9,3.58,0.89,29.8
PP,29.51,7.6,0.352,GGBS,19.6,19.0,56.5,17.31,2.65,1.3,2115.5,3.18,0.75,37.6
PP,19.78,5.73,0.47,silica fume,19.5,28.8,89.6,18.5,2.8,1.51,2263.9,2.93,1.023,43.2
PP,20.34,4.05,0.569,GGBS,25.5,26.9,55.7,11.82,2.43,1.06,2247.0,4.77,0.945,30.1
PP,11.26,12.83,0.51,none,0.0,25.0,13.8,12.8,2.04,1.01,2215.9,4.27,1.151,24.7
PP,3.13,7.49,0.471,fly ash,28.3,66.7,55.6,42.42,4.61,4.49,2324.1,3.14,1.232,64.8
PP,17.65,5.49,0.425,none,0.0,20.1,27.8,10.34,1.87,0.87,2212.4,3.64,1.052,31.0
PP,16.21,5.91,0.535,silica fume,16.3,22.5,28.1,10.46,2.24,0.98,2233.5,4.05,1.089,32.0
PP,19.62,5.27,0.57,fly ash,11.3,48.4,7.1,5.14,1.23,0.44,2198.2,4.47,0.982,27.8
PP,18.03,13.37,0.401,none,0.0,64.9,27.8,10.14,2.45,0.94,2200.0,2.99,1.033,36.9
PP,39.85,9.78,0.374,GGBS,25.9,38.7,28.1,12.08,2.15,0.99,2053.5,3.64,0.662,33.1
PP,11.12,7.8,0.377,silica fume,19.3,74.4,3.4,7.15,1.6,0.59,2254.0,1.92,1.281,39.0
PP,5.3,18.08,0.358,fly ash,10.2,21.6,89.9,49.32,5.42,4.24,2258.9,2.22,1.203,71.9
PP,23.11,6.15,0.444,GGBS,19.2,29.8,28.3,9.21,2.07,0.95,2193.5,3.47,0.882,26.8
PP,10.3,7.88,0.399,GGBS,10.4,19.3,6.5,9.01,1.88,0.69,2313.8,2.78,1.173,42.3
PP,15.37,5.32,0.391,none,0.0,24.7,27.9,14.99,2.8,1.56,2227.2,2.93,1.029,32.4
PP,23.06,4.33,0.446,fly ash,13.9,26.0,13.6,6.38,1.53,0.56,2198.7,3.69,0.898,28.7
PP,7.22,7.53,0.438,none,0.0,24.5,89.8,42.17,3.96,4.33,2317.8,3.2,1.2,53.7
PP,26.11,8.42,0.52,none,0.0,25.4,28.5,9.12,1.59,0.95,2129.7,4.84,0.908,17.3
PP,8.69,11.06,0.508,fly ash,12.2,28.1,27.9,21.13,3.03,1.96,2290.5,3.23,1.226,37.1
PP,18.43,9.03,0.488,GGBS,10.3,18.0,27.5,8.17,1.75,0.63,2192.1,4.09,1.057,34.7
PP,24.4,14.15,0.365,silica fume,6.6,27.0,28.1,12.57,1.91,1.13,2211.8,2.59,0.91,40.1
PP,31.64,7.55,0.385,GGBS,26.8,32.2,27.7,11.37,2.22,1.08,2115.5,3.73,0.764,31.4
PP,21.56,17.99,0.4,none,0.0,20.5,27.7,10.14,1.97,0.87,2211.3,3.25,1.026,27.5
PP,37.42,13.53,0.534,none,0.0,55.6,27.5,8.58,1.87,0.76,2089.8,5.96,0.719,19.0
PP,0.0,7.18,0.437,silica fume,10.5,26.7,28.4,37.93,3.76,3.6,2357.8,2.11,1.409,61.8
PP,9.12,6.61,0.485,fly ash,14.4,43.0,28.2,23.33,2.97,2.13,2252.2,3.51,1.104,44.1
PP,24.31,7.06,0.556,fly ash,22.4,35.8,28.0,9.32,1.87,0.95,2173.0,4.83,0.94,24.5
PP,38.66,4.06,0.62,none,0.0,77.8,90.0,11.49,2.36,1.03,2039.5,6.58,0.729,14.1
PP,13.81,17.28,0.476,GGBS,12.8,26.5,27.8,16.49,2.49,1.26,2226.4,2.92,1.141,35.0
PP,19.63,6.84,0.4,fly ash,17.1,50.7,27.9,12.1,2.34,1.23,2216.2,3.14,0.975,41.4
PP,37.66,5.19,0.498,silica fume,18.6,20.0,28.3,9.57,1.97,0.81,2050.2,4.05,0.719,28.8
PP,39.92,11.78,0.52,none,0.0,44.6,28.4,9.72,1.63,1.04,2054.6,5.17,0.618,21.4
PP,14.11,7.45,0.422,fly ash,11.8,19.8,28.2,17.63,2.85,1.64,2256.9,3.33,1.031,38.5
PP,23.73,8.42,0.547,GGBS,13.5,22.5,14.3,6.48,1.51,0.65,2173.5,4.73,0.967,23.3
PP,3.73,8.11,0.619,GGBS,23.8,23.4,56.2,30.13,4.33,3.29,2304.3,3.87,1.294,46.9
PP,28.77,17.51,0.35,none,0.0,27.9,6.9,5.0,1.3,0.44,2156.4,3.47,0.869,28.1
PP,25.74,6.73,0.35,silica fume,14.6,32.6,28.1,14.1,2.46,1.54,2145.1,2.58,0.917,39.0
PP,11.7,17.87,0.401,silica fume,7.0,27.6,7.0,9.83,1.97,1.03,2260.7,2.57,1.096,42.2
PP,28.87,7.66,0.475,fly ash,12.9,46.7,27.9,9.38,2.27,0.98,2147.5,4.32,0.804,28.6
PP,22.45,14.65,0.435,none,0.0,39.3,7.2,5.0,1.34,0.42,2189.8,4.05,0.99,31.0
PP,5.06,15.21,0.524,silica fume,6.9,73.1,6.8,10.54,2.2,0.82,2314.9,3.26,1.234,31.2
PP,26.82,12.91,0.579,silica fume,11.0,66.3,28.2,9.78,1.95,0.85,2134.8,4.37,0.944,24.0
PP,13.78,9.72,0.35,GGBS,11.7,43.0,27.9,22.19,2.79,2.15,2263.8,2.01,1.162,50.3
PP,31.64,11.94,0.505,none,0.0,57.6,14.1,6.25,1.54,0.53,2069.3,5.36,0.776,19.7
PP,37.42,5.74,0.434,none,0.0,54.5,27.9,10.63,1.75,1.0,2088.5,5.38,0.721,24.7
PP,7.22,7.23,0.554,none,0.0,24.0,7.4,9.27,1.89,0.92,2306.8,3.99,1.167,27.1
PP,36.58,5.67,0.537,silica fume,11.3,42.6,3.0,5.0,1.23,0.45,2089.3,4.09,0.742,23.2
PP,25.43,10.19,0.416,fly ash,22.4,41.5,13.5,7.98,1.74,0.81,2124.2,3.83,0.881,31.2
PP,26.47,17.45,0.416,silica fume,12.9,59.6,3.0,5.13,1.22,0.39,2169.9,3.44,0.905,36.2
PP,25.93,8.31,0.488,fly ash,22.7,26.1,28.3,10.14,1.94,0.94,2121.6,3.97,0.847,33.3
PP,23.84,12.29,0.473,GGBS,16.0,45.3,55.8,13.09,2.94,1.43,2216.6,3.84,0.937,33.2
PP,19.85,5.1,0.365,none,0.0,44.6,13.9,8.17,1.82,0.62,2202.7,3.06,1.01,32.4
PP,15.03,7.09,0.445,GGBS,17.9,62.1,28.4,14.88,3.09,1.29,2224.7,2.85,1.057,46.8
PP,33.8,4.48,0.35,silica fume,9.3,43.6,6.8,5.0,1.38,0.49,2096.6,3.29,0.77,30.8
PP,8.08,4.56,0.518,none,0.0,29.1,56.0,27.21,3.98,2.91,2318.9,3.93,1.223,40.3
PP,37.4,17.71,0.542,silica fume,11.6,24.2,14.3,6.8,1.49,0.6,2081.7,4.53,0.724,28.0
PP,38.21,13.83,0.469,GGBS,10.1,19.2,56.0,12.67,2.19,1.12,2060.8,4.4,0.682,29.6
PP,4.09,14.82,0.431,GGBS,16.5,46.0,14.1,20.7,3.54,2.05,2300.9,2.77,1.282,45.6
PP,29.53,13.95,0.571,none,0.0,28.6,55.8,10.16,2.12,1.03,2169.0,5.4,0.887,13.9
PP,29.98,7.92,0.398,none,0.0,38.4,27.8,11.82,1.99,1.2,2078.2,4.3,0.829,30.2
PP,33.01,6.67,0.49,GGBS,23.1,68.0,27.8,10.88,1.9,0.89,2066.7,4.29,0.739,29.4
PP,25.66,5.45,0.5,GGBS,10.0,22.4,14.2,5.88,1.47,0.48,2158.7,4.04,0.883,22.1
PP,37.27,12.44,0.514,none,0.0,38.9,89.9,14.48,2.52,1.17,2097.4,5.57,0.66,26.2
PP,35.89,9.38,0.443,none,0.0,61.3,3.0,5.01,1.1,0.45,2078.0,4.76,0.723,22.9
PP,9.25,6.34,0.444,silica fume,11.2,26.1,13.9,17.89,2.8,1.4,2291.8,2.58,1.153,45.1
PP,33.25,5.98,0.357,GGBS,13.8,73.5,55.7,16.79,3.12,1.46,2119.9,3.44,0.776,39.6
PP,28.09,11.25,0.497,silica fume,7.5,18.2,28.1,9.04,1.94,0.83,2137.5,3.73,0.844,30.9
PP,37.29,5.52,0.447,fly ash,21.9,22.6,7.1,5.0,1.18,0.5,2106.9,4.52,0.716,26.2
PP,10.5,4.31,0.61,none,0.0,18.1,56.1,19.6,3.48,2.09,2229.0,5.18,1.096,32.0
PP,30.1,8.93,0.479,silica fume,13.8,50.6,55.5,15.9,2.44,1.3,2147.6,3.76,0.827,37.7
PP,15.67,12.0,0.507,fly ash,13.4,64.0,28.2,14.0,2.18,1.45,2198.7,3.41,1.013,35.4
PP,33.04,9.18,0.421,fly ash,15.4,25.3,28.5,10.93,1.96,0.97,2080.1,3.66,0.753,38.0
PP,35.64,8.95,0.506,none,0.0,31.4,27.7,9.11,1.94,0.73,2150.5,5.01,0.794,24.2
PP,4.2,11.79,0.468,GGBS,20.4,24.7,28.2,26.29,3.56,2.85,2329.0,3.14,1.28,51.3
PP,6.54,4.38,0.35,GGBS,16.8,56.1,27.7,33.97,4.16,2.57,2303.3,2.46,1.23,51.9
PP,3.29,10.44,0.4,GGBS,10.0,32.7,28.0,29.77,4.2,2.4,2315.7,2.11,1.288,54.0
PP,26.09,10.96,0.437,GGBS,13.1,19.4,90.0,18.04,2.81,1.39,2175.8,3.27,0.893,34.2
PP,7.13,10.51,0.447,none,0.0,46.0,56.3,39.56,4.83,3.77,2271.4,3.04,1.249,58.1
PP,5.3,11.44,0.463,silica fume,18.1,44.2,6.7,11.27,2.09,1.02,2303.4,2.95,1.341,35.9
PP,12.38,4.01,0.415,silica fume,15.0,29.2,7.4,9.39,2.03,0.82,2251.6,2.02,1.157,42.2
PP,3.07,13.24,0.605,GGBS,22.4,18.5,7.1,8.95,1.82,0.7,2304.2,3.93,1.335,30.8
PP,22.37,4.7,0.433,none,0.0,24.0,13.9,6.73,1.43,0.51,2135.4,3.89,1.003,23.1
PP,15.59,5.38,0.451,GGBS,24.4,23.3,28.1,14.81,2.29,1.56,2269.5,3.57,1.027,31.6
PP,21.24,12.12,0.568,silica fume,8.3,19.3,28.4,8.89,1.92,0.76,2179.8,3.92,1.027,24.6
PP,2.27,8.32,0.426,silica fume,10.8,22.7,56.1,44.25,4.22,4.15,2315.7,2.36,1.28,68.3
PP,24.79,9.72,0.501,fly ash,17.9,22.3,28.1,9.46,1.81,0.93,2108.3,4.15,0.832,27.5
PP,6.03,13.11,0.35,silica fume,14.9,34.2,27.9,31.75,4.39,3.31,2307.3,1.81,1.292,57.6
PP,5.84,14.12,0.532,fly ash,20.7,23.9,27.8,25.01,3.03,2.24,2274.2,3.9,1.205,42.3
PP,15.43,4.63,0.431,silica fume,18.8,18.2,56.1,20.96,3.03,1.8,2251.1,2.36,1.089,50.9
PP,22.16,6.87,0.468,GGBS,19.3,20.6,56.4,12.65,2.63,1.32,2186.2,3.82,0.874,34.8
PP,8.73,9.71,0.56,none,0.0,29.1,56.5,25.3,3.47,2.67,2275.4,4.5,1.185,32.8
PP,32.8,5.71,0.476,GGBS,17.0,24.5,56.3,12.52,2.15,1.22,2088.8,4.3,0.77,29.7
PP,38.29,16.5,0.549,silica fume,12.5,29.2,28.0,9.7,2.15,0.99,2058.8,4.34,0.596,26.0
PP,33.22,6.61,0.371,none,0.0,73.2,14.0,7.04,1.83,0.59,2095.3,3.67,0.754,29.8
PP,37.03,9.51,0.57,silica fume,13.4,22.9,89.7,13.96,2.34,1.07,2049.4,4.84,0.711,32.0
PP,36.03,6.81,0.35,none,0.0,37.0,7.1,5.73,1.22,0.44,2103.5,3.74,0.648,27.6
PP,38.37,8.21,0.377,fly ash,19.7,79.5,56.1,18.09,2.58,1.56,2007.3,3.85,0.67,43.1
PP,15.49,5.16,0.529,none,0.0,28.3,28.1,12.4,1.98,1.05,2238.3,5.16,1.096,24.1
PP,8.41,6.01,0.445,none,0.0,57.5,27.5,25.77,3.19,2.32,2302.7,3.34,1.224,39.3
PP,39.36,9.35,0.427,none,0.0,20.5,27.9,10.26,1.65,0.86,2032.6,4.67,0.665,17.4
PP,22.68,13.01,0.457,none,0.0,29.3,28.1,10.07,1.95,0.97,2160.1,4.34,0.909,23.5
PP,31.43,10.75,0.495,fly ash,15.6,67.6,56.2,12.63,2.13,1.32,2145.5,4.7,0.74,26.1
PP,16.23,10.67,0.505,silica fume,18.3,43.6,89.7,18.19,3.26,1.38,2196.2,3.27,1.104,35.7
PP,19.07,8.9,0.556,none,0.0,23.7,90.0,12.87,2.37,1.34,2200.0,4.61,1.022,21.4
PP,0.58,15.61,0.547,fly ash,10.4,27.9,14.3,16.24,2.87,1.74,2334.7,3.56,1.265,34.5
PP,16.05,15.1,0.557,fly ash,13.4,28.6,27.9,10.54,2.21,1.01,2205.3,4.77,1.07,26.4
PP,35.96,11.7,0.551,GGBS,21.1,18.0,13.6,5.87,1.46,0.56,2095.5,4.73,0.63,24.4
PP,10.43,8.98,0.401,silica fume,11.5,23.3,28.0,27.0,3.11,2.19,2245.2,2.47,1.212,52.7
PP,24.58,7.99,0.44,fly ash,23.6,37.0,27.9,11.0,2.14,0.84,2194.3,3.74,0.865,30.5
PP,10.45,18.13,0.538,fly ash,10.2,44.0,27.6,20.72,2.64,1.7,2247.9,3.72,1.172,40.5
PP,22.8,14.94,0.538,GGBS,12.7,25.6,28.3,8.98,1.97,0.88,2154.0,4.46,0.924,32.1
PP,36.33,11.57,0.41,none,0.0,29.4,6.9,5.1,1.29,0.49,2073.5,4.3,0.763,19.2
PP,9.16,4.22,0.52,none,0.0,32.9,14.4,11.97,2.62,0.97,2245.8,4.46,1.197,26.9
PP,22.98,7.4,0.511,silica fume,7.6,29.4,14.4,6.37,1.66,0.67,2143.0,3.31,1.006,25.4
PP,15.56,7.12,0.403,none,0.0,26.7,56.0,19.39,3.26,1.56,2222.9,3.27,1.088,33.8
PP,14.14,10.73,0.571,silica fume,11.5,48.3,7.2,7.21,1.71,0.69,2240.4,3.47,1.118,30.6
PP,30.47,8.03,0.464,fly ash,17.8,25.6,90.0,16.69,2.97,1.3,2144.7,4.14,0.661,39.6
PP,9.34,6.72,0.504,silica fume,11.9,19.6,7.4,9.82,1.89,1.04,2263.3,3.43,1.204,32.7
PP,21.19,12.09,0.38,fly ash,19.1,69.6,28.1,13.66,2.41,1.46,2231.6,3.41,0.954,35.2
PP,3.14,12.2,0.463,fly ash,28.8,72.5,14.0,20.85,3.62,2.28,2324.8,2.78,1.18,48.6
PP,38.17,8.23,0.35,none,0.0,25.2,27.9,11.56,1.83,1.11,2075.4,4.07,0.691,31.8
PP,37.12,5.23,0.405,GGBS,27.2,41.6,13.9,8.1,1.54,0.72,2033.8,3.99,0.716,31.8
PP,14.07,5.09,0.445,GGBS,23.0,43.3,28.1,17.73,2.71,1.55,2247.1,2.89,1.087,36.3
PP,16.02,10.96,0.358,silica fume,10.1,23.5,7.0,7.33,1.67,0.73,2234.5,2.28,1.052,35.7
PP,0.23,13.44,0.379,GGBS,16.3,26.1,6.8,12.9,2.42,1.19,2304.0,2.23,1.308,42.9
PP,10.89,5.66,0.423,silica fume,13.5,24.5,3.3,6.13,1.58,0.51,2263.6,2.54,1.17,29.7
PP,3.68,4.4,0.35,fly ash,14.1,66.0,6.9,17.31,2.4,1.86,2346.8,1.97,1.29,39.7
PP,26.81,14.76,0.418,fly ash,23.7,58.4,6.5,5.02,1.28,0.45,2192.6,3.92,0.879,29.0
PP,16.47,11.82,0.396,silica fume,14.2,28.6,6.7,6.37,1.61,0.48,2251.5,2.42,1.11,31.5
PP,27.4,7.75,0.397,fly ash,29.6,19.3,89.7,16.07,3.01,1.43,2136.1,3.77,0.904,42.7
PP,7.08,7.76,0.44,none,0.0,28.8,55.7,34.57,4.21,2.6,2255.1,3.4,1.199,43.2
PP,32.0,9.53,0.56,fly ash,18.3,24.0,13.9,5.9,1.5,0.47,2112.2,5.04,0.762,19.5
PP,32.0,5.34,0.392,fly ash,22.1,27.8,27.8,11.94,1.94,1.28,2133.1,3.91,0.782,28.3
PP,31.97,4.53,0.516,silica fume,13.8,32.9,55.7,12.98,2.13,1.12,2145.8,4.33,0.83,37.7
PP,6.49,15.88,0.381,GGBS,29.0,42.8,28.3,34.01,3.78,3.49,2295.9,2.18,1.232,56.2
PP,19.36,7.13,0.528,silica fume,6.3,37.2,6.8,5.35,1.38,0.45,2217.3,4.03,0.999,23.8
PP,19.79,17.78,0.527,GGBS,23.1,36.3,90.0,16.69,2.88,1.62,2171.9,4.32,0.978,39.1
PP,6.16,15.51,0.471,GGBS,20.0,28.2,14.5,16.98,2.86,1.5,2325.7,2.89,1.258,43.2
PP,16.11,12.58,0.527,silica fume,12.9,23.5,7.3,5.69,1.32,0.54,2216.8,3.68,1.121,22.1
PP,23.99,6.79,0.417,fly ash,18.0,23.6,6.8,5.2,1.45,0.42,2193.4,3.66,0.875,27.7
PP,3.44,9.54,0.419,GGBS,14.0,29.4,56.0,40.5,4.27,4.12,2309.8,3.08,1.238,62.7
PP,30.3,8.52,0.509,none,0.0,18.2,89.7,12.95,2.29,1.2,2154.9,5.52,0.754,27.5
PP,21.97,7.99,0.454,none,0.0,21.7,7.1,5.0,1.23,0.54,2169.5,4.44,1.015,27.8
PP,38.15,12.89,0.492,none,0.0,18.8,27.8,8.79,1.89,0.72,2066.7,5.21,0.644,22.4
PP,0.34,14.02,0.649,silica fume,8.1,52.3,55.7,31.81,4.1,2.69,2302.6,3.95,1.491,49.6
PP,22.61,5.4,0.429,GGBS,27.1,29.0,90.0,17.89,2.6,1.83,2230.3,2.81,0.932,44.6
PP,31.33,5.5,0.45,none,0.0,27.9,90.0,15.67,2.61,1.57,2159.2,4.53,0.802,24.1
PP,3.46,6.25,0.451,fly ash,24.2,28.3,27.8,30.92,4.2,3.2,2317.0,3.0,1.259,51.8
PP,29.28,6.94,0.411,GGBS,13.4,70.3,28.0,12.62,2.15,1.26,2124.2,3.73,0.872,29.2
PP,7.45,7.06,0.35,none,0.0,28.2,90.0,45.63,5.37,3.65,2365.0,2.19,1.158,64.8
PP,25.89,8.33,0.393,silica fume,8.2,24.9,28.1,11.45,2.24,1.06,2181.6,2.62,0.889,33.7
PP,32.9,8.34,0.493,fly ash,28.3,19.3,90.0,15.49,2.41,1.35,2170.6,4.71,0.735,29.0
PP,7.19,4.68,0.417,none,0.0,18.9,56.5,36.35,4.45,3.8,2317.0,2.91,1.267,51.6
PP,35.61,5.19,0.557,silica fume,11.8,30.6,14.0,6.33,1.67,0.49,2118.4,4.69,0.733,23.8
PP,24.23,12.5,0.405,silica fume,11.2,28.7,56.4,16.07,2.68,1.72,2158.6,2.83,0.968,43.8
PP,24.88,9.77,0.489,silica fume,19.3,19.5,3.3,5.0,1.28,0.51,2156.2,3.64,0.865,29.5
PP,29.92,5.99,0.46,none,0.0,74.6,28.0,9.55,1.98,1.0,2110.8,4.78,0.796,27.9
PP,2.51,7.34,0.35,fly ash,18.3,29.3,55.7,47.3,5.25,4.25,2335.3,1.62,1.162,73.2
PP,33.27,11.77,0.366,none,0.0,28.8,27.7,9.85,2.17,1.0,2141.8,3.88,0.752,27.3
PP,11.03,16.15,0.434,fly ash,21.3,25.6,90.0,35.24,4.46,2.71,2272.8,3.32,1.069,53.2
PP,15.96,9.71,0.427,silica fume,17.0,22.0,89.6,22.82,3.2,2.18,2244.0,3.1,1.109,46.8
PP,11.96,11.14,0.471,fly ash,28.4,69.4,27.8,22.4,2.89,1.79,2255.5,3.29,1.106,40.1
PP,26.64,7.0,0.515,none,0.0,40.8,7.1,5.31,1.2,0.44,2142.5,5.34,0.914,22.7
PP,25.29,11.06,0.477,silica fume,14.6,22.1,90.0,16.53,2.73,1.38,2182.8,3.58,0.934,40.8
PP,5.28,10.59,0.438,silica fume,17.3,27.8,14.2,21.5,3.14,1.71,2298.3,2.03,1.35,49.7
PP,29.88,11.25,0.548,GGBS,17.7,64.8,13.7,6.04,1.46,0.63,2147.8,4.79,0.799,26.2
PP,24.59,14.15,0.35,GGBS,28.1,60.9,13.6,9.53,1.87,0.8,2182.9,2.76,0.926,35.0
PP,24.43,9.82,0.489,GGBS,16.1,25.5,28.2,10.22,1.97,0.99,2171.6,3.86,0.884,24.0
PP,15.51,7.64,0.468,none,0.0,31.6,7.3,5.89,1.66,0.57,2218.4,4.02,1.116,25.8
PP,14.44,6.54,0.435,none,0.0,79.3,27.6,15.51,2.58,1.21,2278.4,3.77,1.115,32.3
PP,14.56,7.34,0.501,silica fume,17.2,46.3,14.4,10.03,2.36,0.95,2266.2,3.1,1.108,38.3
PP,8.28,5.43,0.511,silica fume,14.6,20.9,27.9,22.65,3.59,1.78,2286.0,3.36,1.244,44.1
PP,37.68,4.73,0.543,fly ash,12.8,43.3,28.4,8.8,1.99,0.82,2078.0,5.52,0.656,12.7
PP,19.0,11.05,0.403,fly ash,25.0,26.9,13.7,6.7,1.77,0.6,2209.3,3.15,0.983,35.9
PP,9.14,4.73,0.497,GGBS,22.2,18.9,55.7,26.21,3.84,2.46,2245.6,3.1,1.174,50.5
PP,26.1,10.33,0.42,GGBS,19.8,26.4,55.6,15.62,2.9,1.7,2160.3,3.65,0.887,35.4
PP,4.13,8.01,0.405,none,0.0,42.5,28.1,28.79,4.25,2.48,2372.1,2.8,1.281,46.9
PP,4.37,16.98,0.466,fly ash,18.9,27.8,28.1,23.82,3.58,1.9,2285.9,3.39,1.245,43.1
PP,31.33,6.92,0.396,none,0.0,20.6,56.2,14.17,2.35,1.4,2128.9,3.94,0.754,24.6
PP,1.28,14.3,0.479,none,0.0,23.4,56.0,39.44,4.03,3.94,2367.1,3.08,1.298,55.5
PP,4.54,7.1,0.533,fly ash,25.0,23.1,14.3,17.11,2.5,1.54,2302.7,3.98,1.277,36.9
PP,18.05,8.05,0.466,GGBS,13.8,29.0,3.5,5.0,1.24,0.46,2245.7,3.64,1.107,29.9
PP,17.62,6.23,0.503,none,0.0,20.1,3.2,5.36,1.27,0.56,2230.4,4.33,1.066,21.2
PP,24.82,7.97,0.37,fly ash,19.6,26.4,6.8,5.63,1.16,0.45,2203.6,2.55,0.896,30.0
PP,24.15,16.43,0.573,silica fume,11.2,25.4,89.7,14.74,2.57,1.16,2213.0,3.91,1.033,34.6
PP,34.83,11.44,0.543,silica fume,7.4,34.4,13.6,6.68,1.41,0.67,2092.1,4.43,0.766,27.6
PP,10.29,13.17,0.515,silica fume,14.5,21.2,14.1,14.62,2.74,1.49,2227.3,3.38,1.122,40.2
PP,33.04,8.8,0.488,silica fume,8.6,28.5,6.9,5.0,1.3,0.43,2115.9,4.08,0.794,33.2
PP,1.92,9.15,0.534,none,0.0,20.4,7.5,10.76,2.12,0.87,2283.5,3.57,1.275,24.8
PP,31.8,4.97,0.374,none,0.0,67.5,90.0,20.8,2.82,2.21,2123.9,4.05,0.826,37.7
PP,3.8,6.85,0.475,none,0.0,18.4,3.0,5.0,1.29,0.39,2312.3,3.49,1.275,29.1
PP,10.35,11.04,0.435,fly ash,25.5,38.7,6.7,11.59,1.9,1.13,2303.0,3.43,1.151,31.0
PP,25.8,8.48,0.43,fly ash,28.5,20.4,6.6,5.0,1.4,0.43,2164.4,4.02,0.881,29.6
PP,39.24,13.18,0.482,fly ash,21.1,26.4,89.9,16.62,2.56,1.8,2044.2,5.05,0.627,27.9
PP,12.5,7.85,0.453,silica fume,9.3,21.5,7.0,9.16,1.93,0.72,2214.0,2.8,1.178,32.3
PP,1.25,4.32,0.503,none,0.0,38.4,55.9,34.26,4.37,3.11,2291.0,3.22,1.331,54.1
PP,3.08,12.06,0.635,none,0.0,24.8,28.1,19.45,3.16,1.92,2284.4,4.99,1.328,31.9
PP,33.04,7.74,0.436,fly ash,14.7,66.7,27.7,12.56,1.91,1.19,2157.5,4.54,0.745,29.2
PP,2.08,7.3,0.463,silica fume,9.3,56.3,55.6,36.55,4.77,3.85,2360.1,2.56,1.384,65.8
PP,29.22,9.18,0.546,fly ash,18.8,24.9,55.8,12.25,1.91,1.13,2118.0,4.98,0.771,25.0
PP,19.38,12.7,0.473,none,0.0,37.5,6.7,5.0,1.22,0.41,2247.0,3.95,0.993,23.4
PP,8.8,18.41,0.451,silica fume,17.1,27.3,55.7,34.53,4.73,2.84,2285.0,2.18,1.196,54.3
PP,33.05,4.92,0.511,none,0.0,51.6,56.0,13.6,2.16,1.46,2121.7,5.33,0.706,26.8
PP,30.93,17.03,0.477,none,0.0,23.8,55.5,12.26,2.05,1.27,2113.7,4.83,0.771,23.2
PP,20.78,5.64,0.463,none,0.0,65.8,13.6,6.72,1.66,0.74,2189.1,4.25,0.958,29.8
PP,5.55,10.68,0.393,fly ash,21.7,35.7,55.8,43.63,4.71,3.33,2331.9,2.52,1.23,60.6
PP,27.03,8.4,0.437,none,0.0,29.0,28.3,10.1,1.93,0.79,2080.9,3.81,0.862,31.6
