plastic_type,plastic_type_enc,replacement_pct,particle_size_mm,wc_ratio,additive_type,additive_type_enc,additive_pct,curing_temp_c,curing_days,compressive_strength_mpa,flexural_strength_mpa,split_tensile_mpa,density_kgm3,water_absorption_pct,thermal_conductivity_wm,durability_index,score_paving_block_light,suitable_paving_block_light,score_paving_block_heavy,suitable_paving_block_heavy,score_floor_tile_indoor,suitable_floor_tile_indoor,score_floor_tile_outdoor,suitable_floor_tile_outdoor,score_hollow_concrete_block,suitable_hollow_concrete_block,score_lightweight_partition_block,suitable_lightweight_partition_block,score_structural_concrete,suitable_structural_concrete,score_nonstructural_concrete_fill,suitable_nonstructural_concrete_fill,score_plastic_sand_paver,suitable_plastic_sand_paver,score_wall_cladding_panel,suitable_wall_cladding_panel,score_thermal_insulation_panel,suitable_thermal_insulation_panel,score_kerb_stone,suitable_kerb_stone,primary_application
Mixed,5,37.7,1.5,0.63,fibres,3,25.3,44.4,18,7.71,0.64,1.01,1899.0,8.1,0.57,53.7,43.2,0,26.16,0,12.6,0,9.56,0,95.58,1,79.46,1,33.69,0,88.71,1,33.33,0,74.18,1,67.64,1,35.09,0,hollow_concrete_block
Mixed,5,20.7,10.2,0.51,none,0,0.0,73.0,31,9.81,0.95,0.94,2087.4,5.77,0.675,71.1,54.49,0,32.55,0,16.81,0,12.76,0,100.0,1,73.92,1,55.11,1,87.25,1,45.43,0,72.79,1,60.14,1,44.52,0,hollow_concrete_block
PET,0,11.1,8.7,0.48,none,0,0.0,43.5,45,17.78,1.91,1.75,2171.3,4.14,0.785,86.3,73.94,1,43.98,0,29.0,0,22.55,0,100.0,1,70.41,1,75.24,1,86.58,1,58.71,1,70.21,1,54.78,0,61.68,1,hollow_concrete_block
PET,0,35.2,16.2,0.65,fly_ash,1,29.3,45.4,12,8.01,0.84,1.01,1995.6,9.04,0.454,39.3,41.29,0,25.01,0,13.06,0,10.13,0,93.44,1,80.04,1,37.4,0,85.74,1,31.33,0,79.78,1,77.89,1,33.33,0,hollow_concrete_block
HDPE,1,7.9,6.9,0.37,none,0,0.0,21.7,58,29.5,4.0,2.78,2225.9,3.4,0.949,91.0,95.23,1,56.85,1,47.34,0,38.02,0,100.0,1,67.02,1,92.08,1,86.17,1,74.33,1,66.44,1,49.27,0,80.64,1,hollow_concrete_block
PET,0,23.7,12.7,0.45,silica_fume,2,7.4,48.4,46,19.89,2.97,2.03,2159.4,5.31,0.635,77.3,70.72,1,42.74,0,32.34,0,26.21,0,100.0,1,74.52,1,77.3,1,86.67,1,61.52,1,75.08,1,62.06,1,58.89,1,hollow_concrete_block
PET,0,32.9,10.6,0.42,none,0,0.0,66.5,82,18.54,2.48,1.96,2011.3,7.68,0.48,76.6,61.92,1,38.45,0,28.21,0,22.99,0,96.7,1,79.89,1,65.63,1,87.9,1,49.03,0,79.36,1,74.94,1,51.76,0,hollow_concrete_block
PVC,3,30.6,12.7,0.52,none,0,0.0,78.5,7,1.0,0.5,0.3,2008.9,7.63,0.565,51.5,35.56,0,21.05,0,5.74,0,4.08,0,52.32,0,50.18,0,29.79,0,44.59,0,25.8,0,52.76,0,57.43,1,27.98,0,thermal_insulation_panel
PVC,3,12.5,17.0,0.37,fly_ash,1,1.9,68.1,10,9.31,1.71,0.78,2251.8,4.55,0.769,78.9,60.63,1,35.54,0,19.45,0,15.1,0,100.0,1,70.1,1,53.48,0,85.99,1,47.41,0,70.28,1,55.09,1,49.37,0,hollow_concrete_block
LDPE,2,24.4,8.9,0.38,none,0,0.0,53.6,40,14.74,1.44,1.71,1977.8,6.05,0.614,72.1,59.57,1,36.0,0,22.75,0,17.78,0,100.0,1,76.94,1,55.75,1,88.2,1,50.51,0,75.07,1,64.2,1,49.33,0,hollow_concrete_block
PVC,3,16.1,12.5,0.47,none,0,0.0,47.2,62,19.55,2.9,1.69,2174.8,4.85,0.853,84.8,72.79,1,43.95,0,32.3,0,26.03,0,100.0,1,69.02,1,77.56,1,86.55,1,61.07,1,68.57,1,52.33,0,60.82,1,hollow_concrete_block
PVC,3,35.2,12.6,0.45,none,0,0.0,47.2,45,12.23,1.72,1.13,2008.2,8.27,0.502,61.9,50.78,0,31.26,0,19.75,0,15.91,0,95.15,1,79.92,1,51.13,0,87.27,1,38.88,0,77.17,1,72.77,1,41.8,0,hollow_concrete_block
PP,4,7.7,2.5,0.53,none,0,0.0,55.6,27,13.63,2.26,1.17,2226.3,3.1,0.9,81.9,74.59,1,43.52,0,27.88,0,21.47,0,100.0,1,67.78,1,63.27,1,86.17,1,53.17,0,67.36,1,50.65,0,62.98,1,hollow_concrete_block
PP,4,5.0,10.4,0.46,fibres,3,21.7,46.7,34,20.74,2.62,2.08,2298.4,2.07,1.031,100.0,84.68,1,58.12,1,40.17,0,30.36,0,100.0,1,65.34,1,73.97,1,85.66,1,62.65,1,64.8,1,46.98,0,76.98,1,hollow_concrete_block
HDPE,1,31.9,1.7,0.44,fibres,3,15.4,59.1,48,11.25,1.62,1.13,1904.1,8.14,0.559,71.5,50.06,0,30.89,0,18.58,0,14.91,0,95.48,1,79.86,1,44.52,0,88.56,1,37.93,0,74.65,1,68.44,1,41.29,0,hollow_concrete_block
LDPE,2,23.3,11.1,0.39,fibres,3,9.3,40.6,50,20.1,2.78,2.36,1972.4,6.25,0.654,82.4,67.4,1,41.34,0,31.32,0,25.45,0,100.0,1,75.67,1,66.94,1,88.25,1,56.67,1,73.08,1,61.84,1,56.46,1,hollow_concrete_block
PET,0,20.7,13.3,0.39,fly_ash,1,15.2,70.1,9,11.81,1.13,1.21,2157.6,6.32,0.626,69.6,55.99,1,33.87,0,18.85,0,14.57,0,100.0,1,74.84,1,61.99,1,86.69,1,45.28,0,73.1,1,62.61,1,45.92,0,hollow_concrete_block
PVC,3,13.8,19.5,0.54,fly_ash,1,23.6,40.5,88,32.78,4.48,3.02,2206.7,4.49,0.821,91.9,88.62,1,56.79,1,49.92,0,40.78,0,100.0,1,69.37,1,94.51,1,86.31,1,75.0,1,69.16,1,53.3,0,78.77,1,hollow_concrete_block
PVC,3,27.8,19.6,0.53,silica_fume,2,25.6,54.0,45,20.13,2.48,1.67,2119.1,3.29,0.573,86.4,82.54,1,48.24,0,34.44,0,26.83,0,100.0,1,77.15,1,78.5,1,86.99,1,61.84,1,77.99,1,66.32,1,69.23,1,hollow_concrete_block
PP,4,12.0,6.9,0.38,none,0,0.0,49.8,3,10.73,1.17,1.06,2175.1,4.22,0.853,72.0,62.84,1,36.41,0,19.97,0,15.02,0,100.0,1,69.02,1,59.55,1,86.55,1,49.31,0,68.57,1,52.33,0,51.28,0,hollow_concrete_block
Mixed,5,8.9,5.0,0.54,fly_ash,1,14.4,66.1,45,21.81,3.13,2.33,2219.9,4.12,0.854,87.5,79.8,1,47.84,0,36.11,0,28.95,0,100.0,1,68.63,1,78.79,1,86.22,1,64.08,1,68.35,1,52.11,0,67.0,1,hollow_concrete_block
Mixed,5,15.0,8.3,0.6,none,0,0.0,41.8,12,6.33,0.59,0.77,2149.2,4.36,0.743,69.7,55.74,1,31.98,0,13.92,0,9.94,0,100.0,1,71.56,1,53.36,0,78.95,1,43.44,0,67.56,1,56.61,1,45.0,0,hollow_concrete_block
LDPE,2,1.2,2.7,0.44,fly_ash,1,18.9,74.8,49,28.37,3.94,2.84,2275.3,1.63,0.999,97.8,94.68,1,69.55,1,54.58,0,41.77,0,100.0,1,65.93,1,88.33,1,85.82,1,72.83,1,65.39,1,47.81,0,86.02,1,hollow_concrete_block
PET,0,39.0,4.4,0.44,fly_ash,1,26.6,63.1,46,14.7,2.35,1.61,2026.3,8.99,0.447,52.0,52.04,0,32.13,0,23.54,0,19.37,0,93.54,1,79.74,1,54.0,0,85.56,1,40.36,0,80.22,1,78.56,1,42.98,0,hollow_concrete_block
PP,4,9.8,4.3,0.4,silica_fume,2,27.3,21.3,89,55.73,8.4,5.58,2220.0,2.8,0.846,100.0,96.44,1,79.91,1,69.52,1,60.36,1,100.0,1,68.78,1,95.0,1,86.22,1,75.0,1,68.52,1,52.38,0,95.26,1,hollow_concrete_block
HDPE,1,15.2,15.9,0.38,fly_ash,1,9.2,34.4,50,26.65,3.75,2.7,2113.7,4.05,0.784,88.1,85.88,1,51.68,0,42.61,0,34.43,0,100.0,1,70.93,1,89.41,1,87.03,1,70.53,1,70.5,1,55.07,1,72.65,1,hollow_concrete_block
Mixed,5,6.9,10.8,0.59,fibres,3,26.4,23.9,21,11.71,2.07,1.03,2232.1,3.22,0.892,95.8,72.15,1,42.74,0,25.17,0,19.29,0,100.0,1,67.87,1,63.22,1,86.13,1,50.61,0,67.49,1,50.87,0,60.64,1,hollow_concrete_block
HDPE,1,31.8,4.2,0.46,silica_fume,2,9.5,45.8,84,22.63,3.58,2.66,1906.8,6.76,0.47,81.2,68.93,1,42.58,0,35.52,0,29.37,0,99.65,1,80.98,1,66.17,1,88.88,1,57.79,1,82.06,1,76.55,1,58.05,1,hollow_concrete_block
HDPE,1,36.8,15.4,0.53,silica_fume,2,23.7,39.7,9,9.54,1.59,0.95,1749.9,4.92,0.417,51.6,52.26,0,29.97,0,18.94,0,14.71,0,100.0,1,82.86,1,29.13,0,90.57,1,47.72,0,90.56,1,83.98,1,42.65,0,hollow_concrete_block
Mixed,5,31.8,17.5,0.61,fibres,3,6.3,24.9,63,11.77,1.52,1.01,1920.7,7.44,0.579,63.6,51.07,0,31.13,0,19.15,0,15.22,0,97.4,1,78.85,1,44.55,0,88.74,1,40.78,0,74.49,1,66.86,1,42.05,0,hollow_concrete_block
Mixed,5,24.6,3.8,0.47,silica_fume,2,15.0,47.9,44,20.2,2.69,2.09,2056.2,3.28,0.682,81.4,82.03,1,47.54,0,35.06,0,27.46,0,100.0,1,74.0,1,72.84,1,87.51,1,61.93,1,73.84,1,59.92,1,68.5,1,hollow_concrete_block
Mixed,5,15.0,14.0,0.56,fibres,3,14.2,54.9,84,20.98,2.65,2.01,2139.8,4.79,0.678,94.1,74.7,1,45.99,0,33.17,0,26.52,0,100.0,1,73.36,1,83.37,1,86.82,1,62.97,1,73.57,1,59.74,1,63.14,1,hollow_concrete_block
PP,4,26.0,4.5,0.62,fibres,3,25.9,43.8,42,12.98,1.54,1.55,1985.0,5.96,0.642,75.4,57.93,1,34.94,0,21.3,0,16.72,0,100.0,1,75.92,1,54.18,0,88.14,1,48.63,0,74.09,1,62.46,1,47.82,0,hollow_concrete_block
PVC,3,35.5,11.6,0.63,silica_fume,2,7.6,25.1,13,5.36,0.82,0.63,2034.0,7.59,0.488,42.1,40.49,0,24.04,0,10.92,0,8.33,0,96.96,1,79.67,1,36.44,0,73.43,1,31.74,0,71.68,1,74.01,1,32.36,0,hollow_concrete_block
LDPE,2,17.8,7.4,0.53,fibres,3,15.4,40.2,60,17.21,3.29,1.87,2166.5,5.76,0.745,89.3,66.36,1,41.03,0,30.06,0,24.76,0,100.0,1,71.36,1,75.4,1,86.62,1,55.35,1,70.21,1,56.45,1,55.87,1,hollow_concrete_block
PVC,3,17.3,7.7,0.5,silica_fume,2,11.5,30.8,32,18.41,2.06,1.84,2222.0,3.7,0.761,82.1,77.98,1,45.52,0,30.77,0,23.87,0,100.0,1,70.52,1,71.59,1,86.2,1,59.55,1,70.63,1,55.54,1,64.53,1,hollow_concrete_block
LDPE,2,25.8,7.5,0.37,none,0,0.0,67.2,32,12.3,1.59,1.03,1956.4,6.13,0.568,71.8,55.91,1,33.69,0,20.63,0,16.25,0,100.0,1,78.92,1,50.08,0,88.4,1,46.85,0,77.12,1,67.48,1,46.09,0,hollow_concrete_block
PET,0,4.7,7.5,0.51,silica_fume,2,5.9,39.8,41,21.3,3.02,2.03,2339.8,3.03,0.973,95.2,85.73,1,52.22,0,37.65,0,29.57,0,100.0,1,65.8,1,71.35,1,85.39,1,63.4,1,65.56,1,48.21,0,74.28,1,hollow_concrete_block
Mixed,5,32.6,13.8,0.43,fly_ash,1,30.0,65.1,72,19.85,2.42,2.37,1919.7,8.13,0.564,67.9,61.22,1,38.0,0,29.18,0,23.74,0,95.5,1,79.48,1,59.04,1,88.43,1,49.43,0,74.32,1,67.97,1,51.31,0,hollow_concrete_block
LDPE,2,0.3,6.3,0.6,fibres,3,28.4,69.3,86,28.72,4.25,3.22,2331.6,1.54,0.97,100.0,95.56,1,71.77,1,56.66,1,43.41,0,100.0,1,65.9,1,84.9,1,85.44,1,73.29,1,65.64,1,48.32,0,86.74,1,hollow_concrete_block
PET,0,18.9,10.5,0.58,fly_ash,1,26.0,33.7,29,13.82,1.82,1.0,2180.8,6.19,0.74,70.4,59.27,1,35.92,0,22.68,0,18.03,0,100.0,1,71.36,1,63.88,1,86.51,1,48.58,0,69.33,1,56.6,1,48.81,0,hollow_concrete_block
PVC,3,9.3,11.9,0.52,fibres,3,21.7,47.7,13,12.48,1.87,1.43,2273.5,3.55,0.821,87.2,71.65,1,41.64,0,24.67,0,18.92,0,100.0,1,68.83,1,59.34,1,85.83,1,51.64,0,68.87,1,53.03,0,59.17,1,hollow_concrete_block
LDPE,2,33.8,8.9,0.63,fibres,3,6.3,47.0,74,12.05,1.59,1.27,1879.8,8.42,0.557,66.1,49.88,0,30.77,0,19.19,0,15.39,0,94.79,1,80.22,1,42.73,0,88.15,1,38.24,0,74.58,1,68.73,1,41.2,0,hollow_concrete_block
PET,0,15.0,11.8,0.39,none,0,0.0,50.0,87,29.59,4.04,2.97,2149.4,5.26,0.782,97.5,84.39,1,53.0,0,44.76,0,36.64,0,100.0,1,70.66,1,99.27,1,86.75,1,74.45,1,70.39,1,55.0,1,72.03,1,hollow_concrete_block
LDPE,2,13.6,8.7,0.56,fibres,3,22.9,61.4,41,16.92,2.18,1.81,2152.2,4.37,0.757,95.6,71.39,1,43.52,0,28.47,0,22.41,0,100.0,1,71.2,1,77.56,1,86.73,1,57.56,1,71.05,1,56.0,1,59.94,1,hollow_concrete_block
LDPE,2,23.5,11.6,0.36,fly_ash,1,4.6,77.2,45,18.22,2.76,1.45,2049.3,6.65,0.652,73.8,63.46,1,38.91,0,29.13,0,23.79,0,100.0,1,74.97,1,67.1,1,87.57,1,52.36,0,71.98,1,61.57,1,52.88,0,hollow_concrete_block
PP,4,25.2,12.3,0.53,fibres,3,29.4,32.3,53,15.06,2.8,1.15,2009.3,6.17,0.621,83.7,61.17,1,37.41,0,26.38,0,21.61,0,100.0,1,76.38,1,61.51,1,87.92,1,50.33,0,74.35,1,63.6,1,50.91,0,hollow_concrete_block
PET,0,21.4,4.2,0.38,fibres,3,19.2,38.3,24,15.27,2.14,1.3,2173.3,5.13,0.706,78.7,65.49,1,39.25,0,25.82,0,20.51,0,100.0,1,72.29,1,68.97,1,86.56,1,55.36,1,72.48,1,58.2,1,54.1,0,hollow_concrete_block
PET,0,27.0,4.0,0.6,fibres,3,0.8,31.9,52,9.83,1.44,0.67,2089.3,6.29,0.618,62.8,52.09,0,31.21,0,17.67,0,13.87,0,100.0,1,75.72,1,53.15,0,87.23,1,42.78,0,73.82,1,63.41,1,42.49,0,hollow_concrete_block
LDPE,2,8.2,6.2,0.51,fibres,3,1.7,51.1,24,12.44,1.83,1.09,2231.0,2.87,0.909,88.2,73.11,1,44.16,0,26.31,0,19.78,0,100.0,1,67.6,1,62.56,1,86.14,1,51.59,0,67.16,1,50.37,0,64.34,1,hollow_concrete_block
LDPE,2,34.4,8.5,0.4,none,0,0.0,27.7,56,17.56,2.49,1.91,1804.7,8.79,0.523,62.1,55.69,1,34.54,0,26.82,0,22.0,0,93.96,1,82.16,1,45.53,0,88.15,1,44.65,0,76.51,1,71.97,1,46.57,0,hollow_concrete_block
PVC,3,29.7,8.1,0.62,fly_ash,1,3.9,32.3,58,12.92,1.73,1.2,2082.1,6.92,0.606,60.0,54.37,0,32.98,0,21.1,0,16.83,0,99.08,1,76.21,1,57.07,1,87.29,1,44.2,0,73.21,1,64.21,1,44.69,0,hollow_concrete_block
Mixed,5,26.6,3.6,0.52,silica_fume,2,17.6,50.1,90,26.53,3.44,2.8,1999.0,3.86,0.571,88.2,86.09,1,51.5,0,42.04,0,33.69,0,100.0,1,78.36,1,81.05,1,88.01,1,70.37,1,78.69,1,67.04,1,72.88,1,hollow_concrete_block
PVC,3,11.0,0.6,0.39,none,0,0.0,69.5,80,28.94,3.71,3.32,2219.7,3.85,0.817,97.8,91.0,1,55.61,1,45.14,0,36.3,0,100.0,1,69.34,1,93.25,1,86.22,1,73.59,1,69.19,1,53.39,0,77.19,1,hollow_concrete_block
HDPE,1,21.0,18.3,0.61,fibres,3,13.9,22.3,14,9.16,1.57,0.85,2021.0,6.29,0.68,72.8,51.91,0,31.25,0,17.32,0,13.7,0,100.0,1,74.4,1,49.72,0,87.81,1,41.89,0,71.8,1,60.19,1,42.44,0,hollow_concrete_block
LDPE,2,25.9,18.4,0.45,silica_fume,2,11.7,69.4,25,11.46,1.66,1.53,1969.0,5.01,0.626,67.1,57.96,1,34.04,0,20.93,0,16.33,0,100.0,1,76.61,1,48.38,0,88.28,1,50.28,0,76.39,1,63.5,1,47.54,0,hollow_concrete_block
PVC,3,10.0,18.0,0.57,fibres,3,11.5,59.5,75,22.58,3.06,2.13,2291.9,3.98,0.863,100.0,82.21,1,50.39,0,36.93,0,29.49,0,100.0,1,67.9,1,77.5,1,85.71,1,65.11,1,67.85,1,51.54,0,69.26,1,hollow_concrete_block
PET,0,15.7,18.9,0.42,fly_ash,1,8.2,57.7,40,19.92,2.56,1.87,2197.8,4.4,0.739,79.0,75.14,1,44.68,0,32.38,0,25.73,0,100.0,1,71.24,1,75.04,1,86.38,1,61.56,1,71.36,1,56.58,1,62.43,1,hollow_concrete_block
Mixed,5,36.7,14.1,0.57,fly_ash,1,27.3,44.7,73,16.71,1.51,1.63,1943.0,8.65,0.487,61.1,55.64,1,34.48,0,23.57,0,18.76,0,94.27,1,80.59,1,53.73,0,87.03,1,43.86,0,78.08,1,74.57,1,46.32,0,hollow_concrete_block
PET,0,39.8,2.0,0.38,silica_fume,2,12.3,29.9,29,12.53,1.08,1.29,1940.7,6.59,0.378,60.9,53.64,0,32.31,0,19.28,0,14.9,0,100.0,1,80.61,1,46.55,0,88.55,1,45.03,0,88.13,1,85.31,1,44.16,0,hollow_concrete_block
PP,4,1.8,1.0,0.54,fibres,3,11.4,64.8,27,19.51,2.8,1.86,2288.7,2.51,1.062,94.7,82.97,1,53.12,0,37.13,0,28.62,0,100.0,1,65.03,1,71.89,1,85.73,1,61.01,1,64.39,1,46.34,0,75.46,1,hollow_concrete_block
PVC,3,1.5,5.4,0.56,fly_ash,1,9.8,64.9,65,21.52,3.21,2.35,2288.2,2.34,1.0,100.0,85.64,1,56.5,1,40.94,0,31.71,0,100.0,1,65.81,1,76.0,1,85.73,1,63.69,1,65.32,1,47.74,0,77.87,1,hollow_concrete_block
PVC,3,2.7,11.2,0.42,fibres,3,4.2,69.2,23,17.63,2.77,1.68,2279.8,1.67,1.023,95.0,80.39,1,59.51,1,40.52,0,30.08,0,100.0,1,65.58,1,69.47,1,85.79,1,58.51,1,65.0,1,47.23,0,73.15,1,hollow_concrete_block
HDPE,1,33.5,12.3,0.4,none,0,0.0,52.1,53,14.22,1.86,1.32,1852.1,7.86,0.391,61.5,52.86,0,32.4,0,22.26,0,17.93,0,96.2,1,81.6,1,43.19,0,89.44,1,42.71,0,86.7,1,85.8,1,43.82,0,hollow_concrete_block
HDPE,1,3.1,15.4,0.55,fly_ash,1,13.2,30.7,7,11.26,1.76,1.12,2330.8,3.1,1.006,83.3,72.28,1,42.14,0,24.26,0,18.29,0,100.0,1,65.42,1,52.21,0,85.45,1,50.01,0,65.06,1,47.44,0,60.84,1,hollow_concrete_block
Mixed,5,21.3,9.1,0.36,none,0,0.0,43.4,42,18.03,2.23,1.95,2134.1,5.97,0.776,71.7,65.29,1,39.65,0,28.07,0,22.48,0,100.0,1,70.93,1,72.3,1,86.87,1,55.31,1,69.02,1,55.3,1,54.24,0,hollow_concrete_block
PVC,3,2.1,0.6,0.58,fly_ash,1,27.9,42.5,33,17.07,2.65,1.76,2369.5,2.37,0.925,89.3,80.31,1,51.86,0,34.95,0,26.67,0,100.0,1,66.3,1,60.67,1,85.19,1,57.76,1,66.3,1,49.39,0,72.88,1,hollow_concrete_block
HDPE,1,3.7,8.7,0.65,silica_fume,2,24.6,60.8,11,11.97,1.34,1.39,2324.8,1.74,0.858,90.6,73.18,1,53.5,0,30.65,0,21.5,0,100.0,1,67.75,1,55.7,1,85.49,1,50.96,0,67.82,1,51.57,0,66.6,1,hollow_concrete_block
HDPE,1,38.3,2.4,0.6,fly_ash,1,21.7,22.6,68,10.32,1.8,0.92,1785.1,8.91,0.393,60.9,45.59,0,28.06,0,17.81,0,14.51,0,93.71,1,82.41,1,32.82,0,88.12,1,34.71,0,85.93,1,86.2,1,37.52,0,hollow_concrete_block
PET,0,32.6,6.8,0.54,fly_ash,1,28.0,43.7,57,13.77,1.51,0.95,2032.9,7.64,0.44,65.3,54.42,0,33.42,0,21.04,0,16.7,0,96.82,1,79.68,1,56.33,1,87.71,1,42.79,0,82.33,1,79.38,1,44.95,0,hollow_concrete_block
PET,0,9.3,2.6,0.45,none,0,0.0,44.1,43,20.73,2.89,2.35,2279.7,3.34,0.809,90.7,84.47,1,49.78,0,35.94,0,28.32,0,100.0,1,69.03,1,73.54,1,85.79,1,62.64,1,69.14,1,53.44,0,70.83,1,hollow_concrete_block
PET,0,15.6,9.4,0.37,silica_fume,2,19.5,42.1,11,21.38,3.04,1.97,2216.9,2.63,0.761,87.6,84.93,1,52.96,0,39.12,0,30.44,0,100.0,1,70.56,1,78.32,1,86.24,1,63.51,1,70.65,1,55.56,1,77.06,1,hollow_concrete_block
HDPE,1,16.4,15.5,0.5,none,0,0.0,62.8,75,20.2,2.36,1.81,2151.9,5.05,0.748,86.3,72.68,1,44.21,0,31.38,0,24.97,0,100.0,1,71.41,1,80.66,1,86.73,1,61.93,1,71.3,1,56.38,1,61.0,1,hollow_concrete_block
HDPE,1,10.1,2.3,0.45,fibres,3,20.3,78.3,20,16.11,2.0,1.67,2187.7,3.46,0.817,89.4,76.59,1,44.82,0,28.82,0,22.2,0,100.0,1,69.6,1,72.08,1,86.46,1,56.48,1,69.34,1,53.52,0,63.9,1,hollow_concrete_block
LDPE,2,7.0,15.4,0.56,fibres,3,2.0,21.1,77,22.59,3.23,1.52,2225.7,3.1,0.97,95.7,86.61,1,52.51,0,39.27,0,31.02,0,100.0,1,66.72,1,81.78,1,86.17,1,65.12,1,66.08,1,48.73,0,74.63,1,hollow_concrete_block
PVC,3,15.3,13.0,0.42,none,0,0.0,34.0,81,26.78,4.2,2.42,2216.5,4.43,0.745,90.9,84.7,1,51.72,0,43.3,0,35.41,0,100.0,1,70.94,1,88.19,1,86.24,1,70.71,1,71.1,1,56.24,1,71.86,1,hollow_concrete_block
PET,0,12.4,14.9,0.58,none,0,0.0,23.6,50,14.63,2.86,1.63,2262.8,4.43,0.734,83.9,68.84,1,40.87,0,27.8,0,22.39,0,100.0,1,70.84,1,62.84,1,85.91,1,54.51,0,71.23,1,56.54,1,56.85,1,hollow_concrete_block
PVC,3,11.9,3.5,0.41,none,0,0.0,34.3,79,30.1,3.96,3.2,2258.1,4.88,0.801,93.8,87.22,1,54.22,0,45.46,0,37.04,0,100.0,1,69.36,1,91.33,1,85.94,1,75.0,1,69.42,1,53.82,0,74.4,1,hollow_concrete_block
PVC,3,29.6,6.9,0.43,none,0,0.0,51.3,56,14.25,2.43,1.06,2006.7,7.36,0.534,68.4,55.74,1,34.2,0,23.95,0,19.6,0,97.64,1,79.9,1,56.05,1,87.94,1,44.36,0,76.46,1,69.91,1,46.13,0,hollow_concrete_block
Mixed,5,32.5,15.1,0.42,silica_fume,2,10.3,32.3,9,11.12,1.39,0.74,2005.1,5.83,0.46,59.6,54.06,0,32.09,0,19.17,0,14.93,0,100.0,1,79.95,1,48.47,0,87.95,1,46.84,0,84.14,1,77.15,1,44.24,0,hollow_concrete_block
Mixed,5,39.5,16.1,0.56,fly_ash,1,18.2,42.9,44,8.47,1.17,0.94,1888.8,8.98,0.483,42.6,41.58,0,25.22,0,14.36,0,11.38,0,93.56,1,81.18,1,31.38,0,86.88,1,32.08,0,78.33,1,75.28,1,33.75,0,hollow_concrete_block
HDPE,1,17.7,0.6,0.61,none,0,0.0,77.2,9,8.23,0.9,1.1,2108.2,4.92,0.768,65.8,54.89,0,31.99,0,15.9,0,11.85,0,100.0,1,71.33,1,52.6,0,87.08,1,45.97,0,70.95,1,55.74,1,44.54,0,hollow_concrete_block
Mixed,5,39.7,18.8,0.39,fly_ash,1,17.8,69.9,29,11.47,1.3,1.05,1853.6,9.13,0.442,43.3,45.23,0,27.6,0,17.64,0,14.03,0,93.25,1,81.58,1,34.05,0,86.95,1,35.74,0,81.47,1,80.09,1,37.09,0,hollow_concrete_block
HDPE,1,20.3,8.8,0.49,fly_ash,1,21.7,34.7,25,15.02,2.02,1.33,2045.6,5.57,0.515,66.3,61.17,1,36.6,0,24.86,0,19.76,0,100.0,1,79.55,1,59.58,1,87.6,1,53.54,0,80.86,1,71.38,1,50.52,0,hollow_concrete_block
PP,4,10.0,6.1,0.48,fly_ash,1,8.2,66.9,13,10.96,1.69,0.94,2199.0,4.42,0.9,80.2,63.25,1,37.08,0,21.22,0,16.42,0,100.0,1,68.0,1,60.33,1,86.37,1,49.61,0,67.48,1,50.76,0,51.74,0,hollow_concrete_block
LDPE,2,15.9,3.8,0.48,fibres,3,22.8,69.2,64,20.64,3.05,2.02,2116.7,5.03,0.732,100.0,73.08,1,45.75,0,33.57,0,27.17,0,100.0,1,72.11,1,82.02,1,87.01,1,62.52,1,71.94,1,57.24,1,61.81,1,hollow_concrete_block
PET,0,30.5,8.8,0.37,silica_fume,2,17.9,29.2,25,18.63,2.79,2.15,2085.1,4.25,0.565,71.3,72.46,1,42.6,0,31.88,0,25.46,0,100.0,1,77.78,1,69.7,1,87.27,1,59.84,1,78.55,1,67.07,1,60.08,1,hollow_concrete_block
LDPE,2,15.2,6.5,0.43,fibres,3,2.2,28.2,63,23.82,3.0,2.25,2162.5,4.43,0.757,93.6,80.35,1,49.17,0,37.34,0,29.91,0,100.0,1,71.11,1,87.81,1,86.65,1,66.76,1,71.0,1,55.95,1,68.02,1,hollow_concrete_block
HDPE,1,6.2,4.2,0.35,silica_fume,2,14.7,75.5,53,46.56,6.3,4.48,2273.8,1.67,0.895,100.0,96.84,1,84.75,1,75.97,1,60.78,1,100.0,1,67.49,1,91.16,1,85.83,1,75.0,1,67.26,1,50.61,0,96.97,1,hollow_concrete_block
Mixed,5,14.9,10.0,0.54,none,0,0.0,44.5,7,9.7,1.56,0.83,2199.1,4.56,0.715,67.5,59.33,1,34.51,0,19.45,0,14.99,0,100.0,1,71.84,1,54.97,0,86.37,1,47.93,0,72.08,1,57.66,1,48.26,0,hollow_concrete_block
PET,0,15.4,11.5,0.41,fibres,3,28.7,66.3,47,25.0,3.55,2.5,2249.7,4.2,0.705,92.8,83.81,1,51.04,0,40.22,0,32.48,0,100.0,1,71.69,1,83.34,1,86.0,1,68.33,1,72.18,1,57.93,1,70.89,1,hollow_concrete_block
PP,4,28.4,12.9,0.46,none,0,0.0,59.1,57,14.82,2.13,1.79,1946.9,6.95,0.574,69.6,57.01,1,34.82,0,23.98,0,19.36,0,98.98,1,78.77,1,53.04,0,88.49,1,46.62,0,75.34,1,67.08,1,47.27,0,hollow_concrete_block
Mixed,5,9.9,9.8,0.63,silica_fume,2,18.9,60.6,88,29.85,4.99,3.09,2232.6,2.6,0.887,100.0,96.34,1,61.66,1,52.58,0,42.29,0,100.0,1,67.95,1,93.85,1,86.12,1,74.8,1,67.59,1,51.02,0,87.57,1,hollow_concrete_block
